,City,cityID,clusterID,Typology,Country,Car Modeshare (%),Public Transit Modeshare (%),Bicycle Modeshare (%),Walking Modeshare (%),Gasoline Pump Price (USD/liter),Road Deaths Rate (per 1000),Subway Length (km),Subway Length Density (per km),Subway Stations per Hundred Thousand,Subway Ridership per Capita,Subway Age (years),BRT Length (km),BRT System Length Density (per km),BRT Stations per Hundred Thousand Persons,BRT Fleet per Hundred Thousand Persons,BRT Annual Ridership per Capita,BRT Age (years),Bikeshare Stations,Bikeshare Stations per Hundred Thousand Persons,Bikeshare Number of Bikes,Bikeshare Bicycles per Hundred Thousand Persons,Bikeshare Age (years),Congestion (%),Congestion AM Peak (%),Congestion PM Peak (%),Traffic Index,Travel Time Index,Inefficiency Index,Population,Land Area (sq. km),Population Density (per sq. km),Population Change 1990 – 2000,Population Change 2000 – 2010,Population Change 2010 – 2020,Population Change 2020 – 2025,Urbanization Rate 2015 (%),Urbanization Rate Change 2015 – 2025 (pp),GDP per Capita (USD),Unemployment Rate (%),Cost of Living Index,Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Gini Coefficient,Poverty Rate (%),Life Expectancy (years),Safety Index,Internet Penetration,Digital Penetration,Innovation Index,Smartphone Penetration (%),CO2 Emissions per Capita (metric tonnes),Pollution Index ,Street length total (m),Street Length Density (m/sq. km),Street Length Average (m),Intersection Count,Intersection Density (per sq. km),Degree Average,Streets per Node,Circuity,Self-Loop Proportion,Highway Proportion,Metro Propensity Factor,BRT Propensity Factor,BikeShare Propensity Factor,Development Factor,Sustainability Factor,Population Factor,Congestion Factor,Sprawl Factor,Network Density Factor,AvgTemperature,coordinates,Temperature,Humidity,Location
160,Nice,94.0,10.0,MassTransit Moderate,France,48.0,11.0,1,40.0,1.87,6.2,0.0,0.0,0.0,0.0,0.0,30.0,0.040322581,5.154639175,,17.93814433,,175,18.04123711,1750.0,180.4123711,2.0,29.0,44.0,56.0,,,,970000.0,744.0,1300.0,44833.0,81176.0,149937.0,73685.0,79.5,2.2,43226.0,9.7,78.06,29.31,64.68,90.45,101.88,,,82.4,56.43,83.3,0.72,42.0,49.0,6.8,,981124.7876,6697028458.0,140.2608703,4121.0,6825.868169,4.35503876,2.722093023,1.215631081,0.00258099,0.02065662,0.0431679438,0.4231103342,0.4502778791,0.6645845843,0.4536561112,0.0313169369,0.3573826812,0.111435021,0.4005364609,,"(43.7009358, 7.2683912)",9.01,81,"(43.7009358, 7.2683912)"
161,Sanaa,329.0,1.0,Congested Emerging,Yemen,,,,,0.6,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,3120000.0,223.0,14000.0,693834.0,945964.0,1527033.0,969602.0,34.6,5.8,679.7,,,,,,,,,65.7,,19.5,0.18,,,0.992679614,,2444411.415,2000473786.0,127.4192773,11770.0,818.3866978,5.527451603,3.045303078,1.061161408,0.000172246,0.0,0.0761728739,0.0458828479,0.3547024978,0.04668066,0.3072809225,0.3063951465,0.6897372711,0.3756787538,0.3369228455,,"(15.3538569, 44.2058841)",8.8,70,"(15.3538569, 44.2058841)"
162,Honolulu(HI),313.0,7.0,Auto Sprawl,United States,90.9,2.2,0.1,1.9,0.87,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,29.0,56.0,58.0,180.75,39.31,136.83,850000.0,440.0,1800.0,85844.0,127065.0,160251.0,80938.0,81.6,1.7,57002.0,,95.67,69.04,103.2,83.79,86.79,0.433,12.1,81.3,68.84,75.4,0.78,41.0,72.0,12.82,45.7,1718685.171,3176157611.0,160.0563579,5983.0,1848.015951,4.825554042,2.661260369,1.081656747,0.002719622,0.033619559,0.0210130276,0.1340777347,0.2574281559,0.8312848297,0.4177442104,0.0381651932,0.3460389063,0.5726830767,0.3138683245,,"(21.304547, -157.8556764)",22.2,51,"(21.304547, -157.8556764)"
163,Cleveland(OH),288.0,7.0,Auto Sprawl,United States,88.8,3.1,0.3,2.3,0.62,9.6,31.0,0.015507754,1.008403361,3.473389356,62.0,11.0,0.005502751,2.016806723,1.176470588,2.68907563,9.0,0,0.0,0.0,0.0,0.0,12.0,18.0,27.0,,,,1785000.0,1999.0,900.0,109319.0,233013.0,341225.0,168703.0,81.6,1.7,55697.0,7.6,74.64,33.52,72.69,68.69,117.88,0.452,34.7,77.8,40.83,71.9,0.78,42.0,72.0,11.8,,4144657.018,6033814871.0,170.4077386,14556.0,1455.805594,5.645979292,3.023002046,1.034721101,0.003601862,0.030691771,0.2244760115,0.295177622,0.3545537014,0.7209121141,0.323535133,0.0643768418,0.0767677492,0.7038239023,0.5018442334,,"(41.5051613, -81.6934446)",1.31,86,"(41.5051613, -81.6934446)"
164,Damascus,241.0,1.0,Congested Emerging,Syria,,,,,0.44,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,2605000.0,181.0,14400.0,371849.0,518784.0,801887.0,472593.0,57.7,4.1,1821.0,,29.46,7.46,25.47,26.16,18.27,,30.8,64.5,42.5,25.9,0.28,,,1.866465075,,4944928.4,4675720974.0,147.148591,20329.0,945.5588829,5.06786118,2.816678528,1.069149868,0.001239096,0.007825788,0.0799278412,0.0713499353,0.3944429724,0.0413190257,0.2678827644,0.1988208571,0.6900825344,0.4765981847,0.3446709839,57.8,"(33.5130695, 36.3095814)",9.1,93,"(33.5130695, 36.3095814)"
165,Manchester,263.0,10.0,MassTransit Moderate,United Kingdom,70.6,15.0,2.2,11.0,1.7,1.8,0.0,0.0,0.0,0.0,0.0,38.0,0.06031746,2.894736842,,2.368421053,22.0,0,0.0,0.0,0.0,0.0,38.0,68.0,79.0,182.0,42.33,166.22,2660000.0,630.0,4100.0,-34610.0,-31865.0,168197.0,146489.0,82.6,2.2,38151.0,8.6,67.5,29.0,53.63,76.88,106.31,0.39,,81.2,50.04,89.8,0.77,46.0,68.0,4.96,50.98,2963967.375,11345031487.0,82.22507767,20390.0,3827.650596,4.701297802,2.496591106,1.060841608,0.003224287,0.011635475,0.0633449815,0.4312772906,0.3905691255,0.6744389538,0.3383063666,0.0432191856,0.5016431481,0.1982661603,0.5094887491,,"(53.4794892, -2.2451148)",5.85,80,"(53.4794892, -2.2451148)"
166,Patna,124.0,1.0,Congested Emerging,India,32.0,28.0,10,30.0,1.19,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,2240000.0,142.0,15700.0,571659.0,363869.0,512120.0,369703.0,32.7,4.3,1861.5,,,,,,,,13.7,68.3,,28.3,0.32,,17.0,1.590272829,85.25,1285402.74,1124341312.0,221.3158988,3502.0,874.6996388,5.269364162,2.69132948,1.067364989,0.000175516,0.0,0.0814704307,0.0419732077,0.3642932417,0.0931451587,0.329927765,0.204463935,0.6850555404,0.221194503,0.2420448786,,"(25.6093239, 85.1235252)",13.62,81,"(25.6093239, 85.1235252)"
167,Shijiazhuang,70.0,12.0,MetroBike Emerging,China,5.0,7.16,47.28,26.82,1.16,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,42.0,70.0,84.0,,,,3535000.0,622.0,5700.0,542084.0,826375.0,1045637.0,402566.0,55.6,9.8,12405.0,3.65,,,,,,0.32,,76.1,,50.1,0.43,,58.0,5.0,,11371437.37,446668289.5,910.8809171,7167.0,39.27984432,5.024757057,2.899699213,1.078266439,0.000276281,0.082443629,0.0735191517,0.0554758604,0.3677963436,0.2808062576,1.0,0.2833896033,0.6275207997,0.9308536819,0.0403065341,,"(38.0429742, 114.5088385)",-3.54,80,"(38.0429742, 114.5088385)"
168,Oslo,190.0,9.0,MassTransit Heavyweight,Norway,51.0,29.0,6,12.0,2.04,1.1,86.0,0.296551724,9.797979798,88.88888889,51.0,0.0,0.0,0.0,0.0,0.0,0.0,106,10.70707071,,,15.0,30.0,57.0,69.0,142.98,38.33,188.67,990000.0,290.0,3200.0,89784.0,124105.0,175575.0,86534.0,80.5,2.4,69091.0,2.8,109.84,47.25,96.6,130.86,106.43,,,80.6,50.89,95.0,0.79,47.0,,14.6,24.21,2906900.081,3104558820.0,148.3642158,11457.0,1067.9964,4.655896607,2.628567582,1.122771357,0.007835994,0.005570967,0.7753071412,0.1935714187,0.4293593461,0.9804803924,0.4462188391,0.0019037902,0.4176239599,0.0879808151,0.2806021162,33.2,"(59.9133301, 10.7389701)",-4.89,96,"(59.9133301, 10.7389701)"
169,Sacramento(CA),292.0,7.0,Auto Sprawl,United States,86.4,2.1,1.6,1.8,0.83,8.1,69.0,0.056557377,2.760416667,6.40625,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22.0,38.0,54.0,109.14,22.27,82.25,1920000.0,1220.0,1400.0,298244.0,327900.0,300831.0,148150.0,81.6,1.7,46650.0,8.6,77.87,37.98,78.47,72.23,121.7,0.471,20.3,80.8,52.93,73.5,0.78,44.0,72.0,11.2,46.69,4373845.045,9228634958.0,146.2384247,17273.0,2109.959284,5.257593651,2.831640607,1.077823429,0.002264192,0.025716174,0.2415234335,0.1611550215,0.3536355856,0.7254020052,0.4547214523,0.0641620801,0.20147487,0.5834226236,0.5173882465,,"(38.5815719, -121.4943996)",4.58,34,"(38.5815719, -121.4943996)"
